title,rating,quote,link
肖申克的救赎,9.7,无,https://movie.douban.com/subject/1292052/
霸王别姬,9.6,无,https://movie.douban.com/subject/1291546/
泰坦尼克号,9.5,无,https://movie.douban.com/subject/1292722/
阿甘正传,9.5,无,https://movie.douban.com/subject/1292720/
千与千寻,9.4,无,https://movie.douban.com/subject/1291561/
美丽人生,9.5,无,https://movie.douban.com/subject/1292063/
星际穿越,9.4,无,https://movie.douban.com/subject/1889243/
这个杀手不太冷,9.4,无,https://movie.douban.com/subject/1295644/
盗梦空间,9.4,无,https://movie.douban.com/subject/3541415/
楚门的世界,9.4,无,https://movie.douban.com/subject/1292064/
辛德勒的名单,9.5,无,https://movie.douban.com/subject/1295124/
忠犬八公的故事,9.4,无,https://movie.douban.com/subject/3011091/
海上钢琴师,9.3,无,https://movie.douban.com/subject/1292001/
疯狂动物城,9.3,无,https://movie.douban.com/subject/25662329/
三傻大闹宝莱坞,9.2,无,https://movie.douban.com/subject/3793023/
机器人总动员,9.3,无,https://movie.douban.com/subject/2131459/
放牛班的春天,9.3,无,https://movie.douban.com/subject/1291549/
无间道,9.3,无,https://movie.douban.com/subject/1307914/
控方证人,9.6,无,https://movie.douban.com/subject/1296141/
寻梦环游记,9.1,无,https://movie.douban.com/subject/20495023/
大话西游之大圣娶亲,9.2,无,https://movie.douban.com/subject/1292213/
熔炉,9.3,无,https://movie.douban.com/subject/5912992/
触不可及,9.3,无,https://movie.douban.com/subject/6786002/
教父,9.3,无,https://movie.douban.com/subject/1291841/
末代皇帝,9.3,无,https://movie.douban.com/subject/1293172/
哈利·波特与魔法石,9.2,无,https://movie.douban.com/subject/1295038/
当幸福来敲门,9.1,无,https://movie.douban.com/subject/1849031/
龙猫,9.2,无,https://movie.douban.com/subject/1291560/
活着,9.3,无,https://movie.douban.com/subject/1292365/
怦然心动,9.1,无,https://movie.douban.com/subject/3319755/
蝙蝠侠：黑暗骑士,9.2,无,https://movie.douban.com/subject/1851857/
指环王3：王者无敌,9.3,无,https://movie.douban.com/subject/1291552/
我不是药神,9.0,无,https://movie.douban.com/subject/26752088/
乱世佳人,9.3,无,https://movie.douban.com/subject/1300267/
飞屋环游记,9.1,无,https://movie.douban.com/subject/2129039/
让子弹飞,9.0,无,https://movie.douban.com/subject/3742360/
哈尔的移动城堡,9.1,无,https://movie.douban.com/subject/1308807/
十二怒汉,9.4,无,https://movie.douban.com/subject/1293182/
海蒂和爷爷,9.3,无,https://movie.douban.com/subject/25958717/
素媛,9.3,无,https://movie.douban.com/subject/21937452/
猫鼠游戏,9.1,无,https://movie.douban.com/subject/1305487/
天空之城,9.2,无,https://movie.douban.com/subject/1291583/
鬼子来了,9.3,无,https://movie.douban.com/subject/1291858/
摔跤吧！爸爸,9.0,无,https://movie.douban.com/subject/26387939/
少年派的奇幻漂流,9.1,无,https://movie.douban.com/subject/1929463/
钢琴家,9.3,无,https://movie.douban.com/subject/1296736/
指环王2：双塔奇兵,9.2,无,https://movie.douban.com/subject/1291572/
死亡诗社,9.2,无,https://movie.douban.com/subject/1291548/
大话西游之月光宝盒,9.0,无,https://movie.douban.com/subject/1299398/
绿皮书,8.9,无,https://movie.douban.com/subject/27060077/
何以为家,9.1,无,https://movie.douban.com/subject/30170448/
闻香识女人,9.1,无,https://movie.douban.com/subject/1298624/
大闹天宫,9.4,无,https://movie.douban.com/subject/1418019/
黑客帝国,9.1,无,https://movie.douban.com/subject/1291843/
指环王1：护戒使者,9.1,无,https://movie.douban.com/subject/1291571/
罗马假日,9.1,无,https://movie.douban.com/subject/1293839/
教父2,9.3,无,https://movie.douban.com/subject/1299131/
狮子王,9.1,无,https://movie.douban.com/subject/1301753/
天堂电影院,9.2,无,https://movie.douban.com/subject/1291828/
饮食男女,9.2,无,https://movie.douban.com/subject/1291818/
辩护人,9.2,无,https://movie.douban.com/subject/21937445/
本杰明·巴顿奇事,9.0,无,https://movie.douban.com/subject/1485260/
搏击俱乐部,9.0,无,https://movie.douban.com/subject/1292000/
美丽心灵,9.1,无,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩,9.2,无,https://movie.douban.com/subject/3008247/
情书,8.9,无,https://movie.douban.com/subject/1292220/
哈利·波特与死亡圣器(下),9.0,无,https://movie.douban.com/subject/3011235/
两杆大烟枪,9.1,无,https://movie.douban.com/subject/1293350/
窃听风暴,9.2,无,https://movie.douban.com/subject/1900841/
音乐之声,9.1,无,https://movie.douban.com/subject/1294408/
功夫,8.9,无,https://movie.douban.com/subject/1291543/
哈利·波特与阿兹卡班的囚徒,9.0,无,https://movie.douban.com/subject/1291544/
西西里的美丽传说,8.9,无,https://movie.douban.com/subject/1292402/
阿凡达,8.8,无,https://movie.douban.com/subject/1652587/
看不见的客人,8.8,无,https://movie.douban.com/subject/26580232/
拯救大兵瑞恩,9.1,无,https://movie.douban.com/subject/1292849/
沉默的羔羊,8.9,无,https://movie.douban.com/subject/1293544/
小鞋子,9.2,无,https://movie.douban.com/subject/1303021/
布达佩斯大饭店,8.9,无,https://movie.douban.com/subject/11525673/
蝴蝶效应,8.9,无,https://movie.douban.com/subject/1292343/
飞越疯人院,9.1,无,https://movie.douban.com/subject/1292224/
还有明天,9.3,无,https://movie.douban.com/subject/36445098/
禁闭岛,8.9,无,https://movie.douban.com/subject/2334904/
心灵捕手,9.0,无,https://movie.douban.com/subject/1292656/
致命魔术,8.9,无,https://movie.douban.com/subject/1780330/
低俗小说,8.9,无,https://movie.douban.com/subject/1291832/
超脱,9.0,无,https://movie.douban.com/subject/5322596/
哈利·波特与密室,8.9,无,https://movie.douban.com/subject/1296996/
一一,9.1,无,https://movie.douban.com/subject/1292434/
喜剧之王,8.8,无,https://movie.douban.com/subject/1302425/
杀人回忆,8.9,无,https://movie.douban.com/subject/1300299/
致命ID,8.9,无,https://movie.douban.com/subject/1297192/
摩登时代,9.3,无,https://movie.douban.com/subject/1294371/
春光乍泄,9.0,无,https://movie.douban.com/subject/1292679/
加勒比海盗,8.8,无,https://movie.douban.com/subject/1298070/
海豚湾,9.3,无,https://movie.douban.com/subject/3442220/
美国往事,9.1,无,https://movie.douban.com/subject/1292262/
红辣椒,9.0,无,https://movie.douban.com/subject/1865703/
七宗罪,8.8,无,https://movie.douban.com/subject/1292223/
唐伯虎点秋香,8.8,无,https://movie.douban.com/subject/1306249/
狩猎,9.1,无,https://movie.douban.com/subject/6985810/
幽灵公主,8.9,无,https://movie.douban.com/subject/1297359/
甜蜜蜜,8.9,无,https://movie.douban.com/subject/1305164/
寄生虫,8.8,无,https://movie.douban.com/subject/27010768/
天书奇谭,9.2,无,https://movie.douban.com/subject/1428581/
蝙蝠侠：黑暗骑士崛起,8.9,无,https://movie.douban.com/subject/3395373/
超能陆战队,8.8,无,https://movie.douban.com/subject/11026735/
7号房的礼物,8.9,无,https://movie.douban.com/subject/10777687/
第六感,8.9,无,https://movie.douban.com/subject/1297630/
茶馆,9.5,无,https://movie.douban.com/subject/1461403/
爱在黎明破晓前,8.8,无,https://movie.douban.com/subject/1296339/
爱在日落黄昏时,8.9,无,https://movie.douban.com/subject/1291990/
被嫌弃的松子的一生,8.8,无,https://movie.douban.com/subject/1787291/
哈利·波特与火焰杯,8.8,无,https://movie.douban.com/subject/1309055/
头脑特工队,8.8,无,https://movie.douban.com/subject/10533913/
未麻的部屋,9.1,无,https://movie.douban.com/subject/1395091/
重庆森林,8.8,无,https://movie.douban.com/subject/1291999/
借东西的小人阿莉埃蒂,8.9,无,https://movie.douban.com/subject/4202302/
菊次郎的夏天,8.9,无,https://movie.douban.com/subject/1293359/
入殓师,8.9,无,https://movie.douban.com/subject/2149806/
断背山,8.8,无,https://movie.douban.com/subject/1418834/
剪刀手爱德华,8.7,无,https://movie.douban.com/subject/1292370/
勇敢的心,8.9,无,https://movie.douban.com/subject/1294639/
时空恋旅人,8.8,无,https://movie.douban.com/subject/10577869/
驯龙高手,8.8,无,https://movie.douban.com/subject/2353023/
消失的爱人,8.7,无,https://movie.douban.com/subject/21318488/
无人知晓,9.1,无,https://movie.douban.com/subject/1292337/
倩女幽魂,8.8,无,https://movie.douban.com/subject/1297447/
傲慢与偏见,8.7,无,https://movie.douban.com/subject/1418200/
新世界,8.9,无,https://movie.douban.com/subject/10437779/
花样年华,8.8,无,https://movie.douban.com/subject/1291557/
玩具总动员3,8.9,无,https://movie.douban.com/subject/1858711/
一个叫欧维的男人决定去死,8.9,无,https://movie.douban.com/subject/26628357/
完美的世界,9.1,无,https://movie.douban.com/subject/1300992/
色，戒,8.7,无,https://movie.douban.com/subject/1828115/
阳光灿烂的日子,8.8,无,https://movie.douban.com/subject/1291875/
怪兽电力公司,8.8,无,https://movie.douban.com/subject/1291579/
小森林 夏秋篇,9.0,无,https://movie.douban.com/subject/25814705/
教父3,9.0,无,https://movie.douban.com/subject/1294240/
天使爱美丽,8.7,无,https://movie.douban.com/subject/1292215/
侧耳倾听,8.9,无,https://movie.douban.com/subject/1297052/
哪吒闹海,9.2,无,https://movie.douban.com/subject/1307315/
九品芝麻官,8.8,无,https://movie.douban.com/subject/1297518/
被解救的姜戈,8.8,无,https://movie.douban.com/subject/6307447/
请以你的名字呼唤我,8.8,无,https://movie.douban.com/subject/26799731/
幸福终点站,8.8,无,https://movie.douban.com/subject/1292274/
釜山行,8.6,无,https://movie.douban.com/subject/25986180/
神偷奶爸,8.7,无,https://movie.douban.com/subject/3287562/
小森林 冬春篇,9.0,无,https://movie.douban.com/subject/25814707/
喜宴,9.0,无,https://movie.douban.com/subject/1303037/
萤火之森,8.8,无,https://movie.douban.com/subject/5989818/
告白,8.8,无,https://movie.douban.com/subject/4268598/
玛丽和麦克斯,9.0,无,https://movie.douban.com/subject/3072124/
七武士,9.3,无,https://movie.douban.com/subject/1295399/
头号玩家,8.6,无,https://movie.douban.com/subject/4920389/
模仿游戏,8.8,无,https://movie.douban.com/subject/10463953/
惊魂记,9.0,无,https://movie.douban.com/subject/1293181/
大鱼,8.8,无,https://movie.douban.com/subject/1291545/
心灵奇旅,8.7,无,https://movie.douban.com/subject/24733428/
机器人之梦,9.1,无,https://movie.douban.com/subject/35426925/
射雕英雄传之东成西就,8.7,无,https://movie.douban.com/subject/1316510/
背靠背，脸对脸,9.5,无,https://movie.douban.com/subject/1307856/
血战钢锯岭,8.7,无,https://movie.douban.com/subject/26325320/
你的名字。,8.5,无,https://movie.douban.com/subject/26683290/
我是山姆,9.0,无,https://movie.douban.com/subject/1306861/
阳光姐妹淘,8.8,无,https://movie.douban.com/subject/4917726/
恐怖直播,8.7,无,https://movie.douban.com/subject/21360417/
黑客帝国3：矩阵革命,8.8,无,https://movie.douban.com/subject/1302467/
末路狂花,9.0,无,https://movie.douban.com/subject/1291992/
小丑,8.7,无,https://movie.douban.com/subject/27119724/
三块广告牌,8.7,无,https://movie.douban.com/subject/26611804/
谍影重重3,8.9,无,https://movie.douban.com/subject/1578507/
高山下的花环,9.5,无,https://movie.douban.com/subject/1422283/
电锯惊魂,8.7,无,https://movie.douban.com/subject/1417598/
无间道2,8.8,无,https://movie.douban.com/subject/1307106/
达拉斯买家俱乐部,8.8,无,https://movie.douban.com/subject/1793929/
疯狂原始人,8.7,无,https://movie.douban.com/subject/1907966/
绿里奇迹,8.9,无,https://movie.douban.com/subject/1300374/
爱在午夜降临前,8.9,无,https://movie.douban.com/subject/10808442/
疯狂的石头,8.6,无,https://movie.douban.com/subject/1862151/
雨中曲,9.1,无,https://movie.douban.com/subject/1293460/
2001太空漫游,8.9,无,https://movie.douban.com/subject/1292226/
海街日记,8.8,无,https://movie.douban.com/subject/25895901/
风之谷,8.9,无,https://movie.douban.com/subject/1291585/
上帝之城,9.0,无,https://movie.douban.com/subject/1292208/
心迷宫,8.7,无,https://movie.douban.com/subject/25917973/
英雄本色,8.6,无,https://movie.douban.com/subject/1297574/
记忆碎片,8.7,无,https://movie.douban.com/subject/1304447/
纵横四海,8.8,无,https://movie.douban.com/subject/1295409/
无敌破坏王,8.7,无,https://movie.douban.com/subject/6534248/
卢旺达饭店,8.9,无,https://movie.douban.com/subject/1291822/
东京教父,9.0,无,https://movie.douban.com/subject/1310177/
牯岭街少年杀人事件,8.9,无,https://movie.douban.com/subject/1292329/
恐怖游轮,8.5,无,https://movie.douban.com/subject/3011051/
小偷家族,8.7,无,https://movie.douban.com/subject/27622447/
魔女宅急便,8.7,无,https://movie.douban.com/subject/1307811/
冰川时代,8.7,无,https://movie.douban.com/subject/1291578/
芙蓉镇,9.3,无,https://movie.douban.com/subject/1297880/
忠犬八公物语,9.2,无,https://movie.douban.com/subject/1959195/
岁月神偷,8.7,无,https://movie.douban.com/subject/3792799/
遗愿清单,8.7,无,https://movie.douban.com/subject/1867345/
荒蛮故事,8.7,无,https://movie.douban.com/subject/24750126/
大佛普拉斯,8.7,无,https://movie.douban.com/subject/27059130/
源代码,8.6,无,https://movie.douban.com/subject/3075287/
花束般的恋爱,8.6,无,https://movie.douban.com/subject/34874432/
白日梦想家,8.6,无,https://movie.douban.com/subject/2133323/
疯狂的麦克斯4：狂暴之路,8.7,无,https://movie.douban.com/subject/3592854/
爱乐之城,8.4,无,https://movie.douban.com/subject/25934014/
可可西里,8.9,无,https://movie.douban.com/subject/1308857/
你看起来好像很好吃,8.9,无,https://movie.douban.com/subject/4848115/
贫民窟的百万富翁,8.6,无,https://movie.douban.com/subject/2209573/
波西米亚狂想曲,8.6,无,https://movie.douban.com/subject/5300054/
城市之光,9.3,无,https://movie.douban.com/subject/1293908/
爆裂鼓手,8.6,无,https://movie.douban.com/subject/25773932/
青蛇,8.6,无,https://movie.douban.com/subject/1303394/
东邪西毒,8.6,无,https://movie.douban.com/subject/1292328/
哈利·波特与死亡圣器(上),8.6,无,https://movie.douban.com/subject/2051007/
无耻混蛋,8.7,无,https://movie.douban.com/subject/1438652/
终结者2：审判日,8.8,无,https://movie.douban.com/subject/1291844/
大红灯笼高高挂,8.8,无,https://movie.douban.com/subject/1293323/
黑天鹅,8.6,无,https://movie.douban.com/subject/1978709/
新龙门客栈,8.7,无,https://movie.douban.com/subject/1292287/
初恋这件小事,8.5,无,https://movie.douban.com/subject/4739952/
人工智能,8.7,无,https://movie.douban.com/subject/1302827/
千钧一发,8.8,无,https://movie.douban.com/subject/1300117/
崖上的波妞,8.6,无,https://movie.douban.com/subject/1959877/
雨人,8.7,无,https://movie.douban.com/subject/1291870/
虎口脱险,8.9,无,https://movie.douban.com/subject/1296909/
哈利·波特与凤凰社,8.6,无,https://movie.douban.com/subject/1457217/
彗星来的那一夜,8.6,无,https://movie.douban.com/subject/25807345/
罗生门,8.8,无,https://movie.douban.com/subject/1291879/
海边的曼彻斯特,8.6,无,https://movie.douban.com/subject/25980443/
恋恋笔记本,8.5,无,https://movie.douban.com/subject/1309163/
真爱至上,8.5,无,https://movie.douban.com/subject/1292401/
火星救援,8.5,无,https://movie.douban.com/subject/25864085/
黑客帝国2：重装上阵,8.7,无,https://movie.douban.com/subject/1304141/
冰雪奇缘,8.5,无,https://movie.douban.com/subject/4202982/
步履不停,8.8,无,https://movie.douban.com/subject/2222996/
奇迹男孩,8.6,无,https://movie.douban.com/subject/26787574/
千年女优,8.8,无,https://movie.douban.com/subject/1307394/
战争之王,8.7,无,https://movie.douban.com/subject/1419936/
谍影重重2,8.7,无,https://movie.douban.com/subject/1308767/
蜘蛛侠：平行宇宙,8.6,无,https://movie.douban.com/subject/26374197/
攻壳机动队,9.0,无,https://movie.douban.com/subject/1291936/
血钻,8.7,无,https://movie.douban.com/subject/1428175/
小姐,8.5,无,https://movie.douban.com/subject/25977027/
隐藏人物,8.9,无,https://movie.douban.com/subject/26615208/
魂断蓝桥,8.8,无,https://movie.douban.com/subject/1293964/
血观音,8.6,无,https://movie.douban.com/subject/27113517/
房间,8.7,无,https://movie.douban.com/subject/25724855/
